"","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","p_0001","v_113","v_114","meduse_1","meduse_2","meduse_3","medtime_1","medtime_2","medtime_3","medcondsoz_1","medcondsoz_2","medcondsoz_3","medcondsoz_4","medcondsoz_5","medcondsoz_6","medcondsoz_7","medcondsoz_8","medcondsoz_9","medcondsoz_10","v_48","medcondsoz_11","med_act","finan1","finan2","finan3","trust1","trust2","trust3","trust4","trust5","tsec1","tsec2","tsec3","tfree1","tfree2","tfree3","ssec1","ssec2","ssec3","sfree1","sfree2","sfree3","att","man_finance","man_finance_ctrl","man_eff","man_eff_ctrl","man_acc1","man_acc2","narrative_1","narrative_2","narrative_3","narrative_4","narrative_5","narrative_6","narrative_7","narrative_8","man_check1","man_check2","v_126","v_127","heiz1","heiz2","heiz3","heiz4","heiz5","heiz6","heiz7","heiz8","heiz9","heiz10","v_109","pol","v_7","SES","gender","age","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","quota_rejected_id","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","rts7164300","rts7164302","rts7164304","rts7164305","rts7164306","rts7164307","rts7164308","rts7164309","rts7164310","rts7164312","rts7164313","rts7164314","rts7164315","rts7164316","rts7164317","rts7164318","rts7164319","rts7164320","rts7164321","rts7164322","rnd_pg_7164311_1","rnd_pg_7164311_2","rnd_pg_7164311_3","rnd_pg_7164311_4","rnd_pg_7164311_5","rnd_pg_7164311_6","rnd_pg_7164311_7","rnd_pg_7164311_8"
"23",39,0,0,31,7101365,NA,657,1,289762377663639,0,1,2,5,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,5,5,6,3,4,2,5,7,4,4,4,4,6,5,5,7,7,7,1,3,NA,3,NA,2,2,4,5,2,5,3,5,4,2,2,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,6,1,67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0 TO-Browser/TOB7.129.0.308_10","https://email.t-online.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113510,7113507,7113515,7113508,7113511,7113513,7113514,7113516,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"3c0ae11baa43531eefc92b74086c67fa",1,0,1728913817,"2024-10-14 13:50:17","2024-10-14 14:01:14","0000-00-00 00:00:00",5,657,103,58,175,266,370,314,381,423,476,403,505,531,559,457,580,598,609,0,7113510,7113507,7113515,7113508,7113511,7113513,7113514,7113516
"24",40,0,0,31,7101365,NA,953,2,289762377509972,0,1,3,8,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,6,6,2,4,5,2,2,2,5,2,2,2,5,2,4,3,5,2,2,NA,6,NA,3,4,3,2,2,3,2,3,4,2,4,4,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,3,NA,7,2,79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113515,7113513,7113514,7113507,7113516,7113508,7113510,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"691046b597971666cf7af8f8f4c1841b",1,0,1728913922,"2024-10-14 13:52:02","2024-10-14 14:07:55","0000-00-00 00:00:00",6,953,205,106,259,331,663,388,676,821,852,862,708,779,802,747,832,881,889,0,7113511,7113515,7113513,7113514,7113507,7113516,7113508,7113510
"25",41,0,0,31,7101365,NA,174,1,289762377774274,0,1,2,2,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,3,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,1,3,NA,5,NA,4,3,2,3,3,2,3,4,3,3,3,3,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,7,NA,5,1,58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://deref-web.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113510,7113508,7113515,7113507,7113514,7113511,7113516,7113517,7113517,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"c01548571c3d6c75a9d6589a8946bee4",1,0,1728913973,"2024-10-14 13:52:53","2024-10-14 13:55:47","0000-00-00 00:00:00",5,174,42,27,47,78,116,89,118,136,129,125,146,122,140,133,151,159,163,0,7113513,7113510,7113508,7113515,7113507,7113514,7113511,7113516
"26",42,0,0,31,7101365,NA,745,2,289762377825499,0,1,3,8,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,6,5,2,5,5,4,5,3,3,4,4,5,5,4,5,5,5,3,2,NA,3,NA,2,2,4,3,2,4,2,2,2,3,2,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,7,1,73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113514,7113508,7113516,7113515,7113513,7113507,7113510,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"59ebe7f94f8a3c68677caa1293412690",1,0,1728914019,"2024-10-14 13:53:39","2024-10-14 14:06:04","0000-00-00 00:00:00",10,745,180,128,224,346,445,401,457,646,550,671,497,626,525,599,573,686,697,0,7113511,7113514,7113508,7113516,7113515,7113513,7113507,7113510
"27",43,0,0,31,7101365,NA,484,2,289762377626754,0,1,2,9,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,6,6,1,5,2,2,4,4,5,4,4,2,3,5,6,6,6,2,2,NA,5,NA,2,2,3,5,1,4,1,4,1,4,4,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,3,NA,8,2,65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113510,7113508,7113507,7113516,7113515,7113514,7113511,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"2f091a9c7676203cd343b177519b85af",1,0,1728914097,"2024-10-14 13:54:57","2024-10-14 14:03:01","0000-00-00 00:00:00",3,484,89,55,117,216,288,247,295,361,347,330,439,315,414,393,372,455,459,0,7113513,7113510,7113508,7113507,7113516,7113515,7113514,7113511
"28",44,0,0,31,7101365,NA,742,3,289762377530460,0,1,1,8,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,0,1,5,4,1,1,1,5,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,3,3,4,5,5,3,5,3,5,4,NA,NA,4,1,0,0,0,0,0,1,0,0,0,0,NA,3,NA,7,2,63,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113514,7113516,7113510,7113511,7113515,7113508,7113513,7113507,7113517,7113518,7101522,7101365",1,0,0,NA,NA,"b70320d6016f254b05d8f7d13da5452b",1,0,1728914244,"2024-10-14 13:57:24","2024-10-14 14:09:46","0000-00-00 00:00:00",4,742,118,67,172,238,366,266,378,692,626,487,527,662,425,569,452,711,719,0,7113514,7113516,7113510,7113511,7113515,7113508,7113513,7113507
"29",45,0,0,31,7101365,NA,204,1,289762377380892,0,1,2,6,9,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,5,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,1,2,NA,4,NA,2,3,3,3,1,3,1,3,3,4,2,2,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,8,"vot",7,1,49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113513,7113508,7113511,7113507,7113514,7113510,7113516,7113515,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"a7493915c8c7cdf38d0c9f4409bdde73",1,0,1728914329,"2024-10-14 13:58:49","2024-10-14 14:02:13","0000-00-00 00:00:00",3,204,50,28,61,72,100,87,117,149,137,159,144,125,154,170,165,178,184,0,7113513,7113508,7113511,7113507,7113514,7113510,7113516,7113515
"30",46,0,0,31,7101365,NA,1530,1,289762377558118,0,1,1,1,9,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,7,7,1,1,2,2,1,2,1,5,1,1,1,0,0,7,7,7,1,1,NA,1,NA,1,1,1,1,3,1,4,1,3,1,1,2,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,7,NA,8,2,71,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113511,7113507,7113516,7113510,7113508,7113514,7113513,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"aaa43b3ca40ae692b188ff8941a94eb6",1,0,1728914514,"2024-10-14 14:01:54","2024-10-14 14:27:24","0000-00-00 00:00:00",9,1530,343,290,386,1054,1143,1106,1156,1287,1380,1350,1255,1455,1418,1205,1316,1484,1495,0,7113515,7113511,7113507,7113516,7113510,7113508,7113514,7113513
"31",47,0,0,31,7101365,NA,1101,1,289762377618558,0,1,2,8,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,6,5,4,4,5,2,5,3,5,5,5,3,5,3,3,3,5,1,2,NA,6,NA,4,4,5,4,3,4,4,3,4,5,4,4,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,1,NA,4,1,70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113510,7113516,7113514,7113515,7113513,7113511,7113508,7113507,7113517,7113518,7101522,7101365",0,0,0,NA,NA,"53b54ecce6032745f6ee404bdd102219",1,0,1728914766,"2024-10-14 14:06:06","2024-10-14 14:24:27","0000-00-00 00:00:00",5,1101,181,101,242,376,537,454,553,1000,959,621,905,831,729,774,668,1025,1033,0,7113510,7113516,7113514,7113515,7113513,7113511,7113508,7113507
"32",48,0,0,31,7101365,NA,1025,2,289762377395233,0,1,3,1,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,5,4,5,5,6,6,6,5,5,6,3,3,4,3,3,4,3,1,NA,5,NA,3,3,2,4,2,4,3,2,4,2,3,3,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,6,2,67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://deref-web.de/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113507,7113516,7113513,7113510,7113515,7113511,7113508,7113514,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"59adcc845e9c09bb94a55378b9af1988",1,0,1728914778,"2024-10-14 14:06:18","2024-10-14 14:23:23","0000-00-00 00:00:00",41,1025,206,148,335,365,469,419,509,654,863,765,844,731,893,792,665,909,948,0,7113507,7113516,7113513,7113510,7113515,7113511,7113508,7113514
"33",49,0,0,31,7101365,NA,396,1,289762377961511,0,1,7,1,9,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,7,4,3,4,4,3,3,3,4,3,3,2,2,2,2,2,2,1,1,NA,5,NA,4,4,1,3,3,3,1,2,2,3,5,5,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,1,NA,5,2,46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0","https://deref-gmx.net/",0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113511,7113510,7113507,7113516,7113508,7113515,7113514,7113513,7113517,7113518,7101522,7101365",0,1,0,NA,NA,"17c71e8178e2ce9c878b349d34803c74",1,0,1728915247,"2024-10-14 14:14:07","2024-10-14 14:20:43","0000-00-00 00:00:00",8,396,97,70,120,243,278,254,280,327,338,318,310,358,347,342,332,374,380,0,7113511,7113510,7113507,7113516,7113508,7113515,7113514,7113513
"34",50,0,0,31,7101365,NA,539,2,289762377546850,0,1,2,1,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,5,6,5,4,5,5,1,7,6,5,5,3,3,3,3,5,5,5,1,3,NA,6,NA,3,3,4,4,4,4,5,4,4,4,4,4,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,2,NA,6,2,76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,"7101447,7115252,7112144,7111982,7112405,7112407,7113504,7112415,7113506,7119467,7113515,7113516,7113510,7113508,7113514,7113513,7113511,7113507,7113517,7113518,7101522,7101365",1,1,0,NA,NA,"aef2d545ea565fff9834f50e09500a22",1,0,1728915269,"2024-10-14 14:14:29","2024-10-14 14:23:28","0000-00-00 00:00:00",5,539,110,68,146,187,280,240,290,498,408,377,476,455,426,323,351,514,520,0,7113515,7113516,7113510,7113508,7113514,7113513,7113511,7113507
